number,name,type,notes,beauty_score
1,Inothewayurthinkin,Jump,Gold Cup winner; benchmark staying chaser,3
2,Galopin Des Champs,Jump,Triple Grade 1 winner; class act over 3 miles,9
3,Gentlemansgame,Jump,Strong stayer; Gold Cup contender; excels in testing conditions,5
4,Marine Nationale,Jump,Champion Chase hero; excels on good ground,7
5,Jonbon,Jump,Top-class two-mile chaser,4
6,Fact To File,Jump,Leading Gold Cup contender,2
7,Jasmin De Vaux,Jump,Champion Bumper winner; Stayers' Hurdle prospect,9
8,Spillane's Tower,Jump,Cotswold Chase winner; Gold Cup contender,6
9,Golden Ace,Jump,Promising mare; top National Hunt prospect,6
10,State Man,Jump,Top-class hurdler; Champion Hurdle contender,3
11,Lossiemouth,Jump,Grade 1 winning hurdler,7
12,Bob Olinger,Jump,Former Ballymore winner; talented chaser,4
13,Teahupoo,Jump,Grade 1 performer over hurdles/fences,8
14,Ballyburn,Jump,Exciting novice prospect,6
15,Majborough,Jump,High-class novice chaser,5
16,Poniros,Jump,Staying chaser; Grand National type,7
17,Haiti Couleurs,Jump,Promising young chaser,8
18,Kalif Du Berlais,Jump,Novice chase prospect,7
19,Mydaddypaddy,Jump,Competitive handicapper,2
20,Jukebox King,Jump,Strong novice hurdler,5
21,Doctor Du Mesnil,Jump,Stayers' Hurdle contender,6
22,Celtic Dino,Jump,Promising French import,5
23,El Cairos,Jump,Novice chase prospect,7
24,Final Demand,Jump,Promising National Hunt horse,3
25,Kopek Des Bordes,Jump,Strong chasing prospect,6
26,Jango Baie,Jump,Grade 1 novice contender,7
27,Kitzbuhel,Jump,Exciting young talent,8
28,The Jukebox Man,Jump,Novice hurdle prospect,4
29,Woodie Flash,Jump,Competitive chaser,4
30,Ginny's Destiny,Jump,Promising mare,7
31,Caldwell Potter,Jump,Up-and-coming novice,3
32,Herakles Westwood,Jump,Promising young horse,6
33,Sa Majeste,Jump,French-bred National Hunt prospect,8
34,Calandagan,Flat,2025 Longines World's Best Racehorse,8
35,Ka Ying Rising,Flat,Unbeaten sprinter in 16 consecutive runs,7
36,Forever Young,Flat,First Japanese-trained Breeders' Cup Classic winner,8
37,Almeraq,Flat,Top flat prospect for 2026,7
38,Alvin,Flat,Classic contender,3
39,Volterra,Flat,Quality middle-distance performer,8
40,Sevenna Knight,Flat,Competitive miler,7
41,Slaney View,Flat,Improving performer,6
42,St Anton,Flat,Promising flat racer,7
43,Counting Cards,Flat,Unexposed talent,5
44,Sourdough,Flat,Consistent performer,4
45,Valvano,Flat,Middle-distance prospect,6
46,Cosmic Year,Flat,Promising 3-year-old,7
47,Verse Of Love,Flat,Quality filly,9
48,American Bay,Flat,Sprint prospect,4
49,Arctic Dawn,Flat,Improving sprinter,8
50,Gewan,Flat,Class performer,5
51,Precise,Flat,Talented miler,5
52,Field Of Gold,Flat,Middle-distance prospect,8
53,Trawlerman,Flat,Stayer; Cup horse,4
54,Minnie Hauk,Flat,Quality middle-distance filly,6
55,Kalpana,Flat,Promising filly,8
56,The Lion In Winter,Flat,Classic prospect,9
57,Desert Flower,Flat,High-class filly,8
58,Bright Times Ahead,Flat,Improving performer,5
59,Banyan,Flat,Promising prospect,7
60,Windlord,Flat,Talented colt,8
61,Regal Ulixes,Flat,Top-class prospect,7
62,Centigrade,Flat,Quality 3-year-old,5
63,That's Amore,Flat,Consistent performer,8
64,Alobayyah,Flat,Distance filly,7
65,Crown Of Oaks,Flat,Classic filly prospect,7
66,Kibris,Flat,Quality performer,6
67,Almeric,Flat,Promising colt,7
68,Cathedral,Flat,Exciting prospect,8
69,Arth's Gold,Flat,Competitive all-weather performer,5
70,Square D'Alboni,Flat,French-bred talent,5
